S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at 25 °C),CO3 (mg/L),HCO3 (mg/L),Cl (mg/L),F (mg/L),SO4 (mg/L),NO3 (mg/L),PO4 (mg/L),Total Hardness (mg/L),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
73,Bihar,Aurangabad,Narari Kala,84.1491,24.7877,2023,7.88,683,0,256,64,0.66,29,9,0.00,240,88,5,47,2,-,-,0.00
74,Bihar,Aurangabad,Daudnagar,84.4049,25.0346,2023,8.01,1635,0,458,263,0.63,59,15,0.17,515,80,77,120,31,-,-,10.50
75,Bihar,Aurangabad,Deo1,84.4401,24.6687,2023,7.78,1185,0,512,82,0.82,44,14,0.11,325,32,60,122,1,-,-,9.58
76,Gujarat,Rajkot,Umrali,70.6022,21.9101,2023,8.08,1308,0,98,241,0.37,134,51,-,350,92,29,121,2,0.29,-,-
77,Gujarat,Rajkot,Virpur1,70.6929,21.8466,2023,8.11,1104,0,183,213,0.15,75,46,-,370,112,22,92,1,0.18,-,-
78,Gujarat,Rajkot,Khamta,70.5604,22.4663,2023,7.91,390,0,85,71,0.26,35,10,-,130,32,12,33,7,0.55,-,-
79,Gujarat,Rajkot,Movaiya,70.6275,22.4579,2023,7.59,4444,0,98,1248,0.28,233,131,-,1691,365,190,212,3,0.43,-,-
80,Gujarat,Rajkot,Targhari,70.6728,22.3821,2023,8.14,1812,0,232,369,0.66,227,38,-,590,68,102,182,2,0.36,-,-
81,Gujarat,Rajkot,Halenda,71.0541,22.0876,2023,7.94,2022,0,451,369,0.36,157,31,-,791,92,136,114,5,0.33,-,-
82,Gujarat,Rajkot,Ranpur1,70.9274,22.3773,2023,7.59,3005,0,195,879,0.25,51,44,-,1061,273,92,225,2,0.34,-,-
83,Gujarat,Rajkot,Sanosara,71.2304,22.2989,2023,7.86,8579,0,488,2021,0.70,714,772,-,2602,301,450,976,12,0.04,-,-
84,Gujarat,Rajkot,Sardhar2,70.9872,22.1355,2023,8.10,1365,0,549,149,0.23,70,26,-,290,56,36,175,69,0.02,-,-
